cut,group,count,baseline_mrr,personalized_mrr,mrr_delta,baseline_hit_at_10,personalized_hit_at_10,improved,worsened
profile_richness,1,5,0.425,0.425,0.0,0.8,0.8,0,0
profile_richness,2-3,59,0.479634,0.479634,0.0,0.830508,0.830508,0,0
profile_richness,4+,96,0.49993,0.49993,0.0,0.9375,0.9375,0,0
baseline_position,1-3,92,0.753623,0.753623,0.0,1.0,1.0,0,0
baseline_position,4-10,51,0.178105,0.178105,0.0,1.0,1.0,0,0
baseline_position,not retrieved in top 10,17,0.0,0.0,0.0,0.0,0.0,0,0
constraint_richness,2-3,160,0.490104,0.490104,0.0,0.89375,0.89375,0,0
category,Athletic Walking,6,0.294643,0.294643,0.0,1.0,1.0,0,0
category,Shoes Fashion Sneakers,5,0.448571,0.448571,0.0,0.8,0.8,0,0
category,Shoes Slippers,6,0.416667,0.416667,0.0,0.666667,0.666667,0,0
